ResourceID,Subject(s),Bibliographic Item Description text,Bibliographic Source Title,Author
1,History,L'histiore du christianisme dans l'île de Socotorah. Revue illustrée de la Terre Sainte et de l'Orient catholique,L'histiore du Christianisme dans l'île de Socotorah,"Caillaud, F. R. du"
2,History,"Un successeur de l'Apôtre Saint Thomas, Frère Antonio Loureiro, de L'Ordre de Saint Francois de l'Observance, premier Missionnaire latin dans l'île Socotorah.","Un successeur de l'Apôtre Saint Thomas, Frère Antonio Loureiro, de L'Ordre de Saint Francois de l'Observance, premier Missionnaire latin dans l'île Socotorah.","Caillaud, F. R. du"
3,History,,L'île de Socotorah,"Candolle, A. de"
3,Geography,,,
4,History,,L'île de Socotora,"Capitaine, M.H."
4,Geography,,,
5,Geography,With maps,The Ancient Explorers,"Cary, M."
5,,,,"Warmington, E.H."
6,History,"Text with introduction, translation and commentary by Lionel Casson; pp xvii + 320; 17 maps; See pp 18-19,46,101, 133, 164-169, 285, 292",The Periplus Maris Erythraei,"Casson, L. (ed.)"
7,Anthropology,,Out of Arabia - The Settlement of Island Soqotra as Revealed by Mitochondrial and Y Chromosome Genetic Diversity,"Cerný, V."
7,,,,"Pereira, L."
7,,,,"Kujanová, M."
7,,,,"Vasíková, A."
7,,,,"Hájek, M."
7,,,,"Morris, M."
7,,,,"Mulligan, C.J. "
8,History,,Socotra - A Natural History of the Islands and Their People,"Cheung, C."
8,Archaeology,,,
8,Anthropology,,,
8,,,,"De Vantier, L."
9,Anthropology,"In Naumkin, V.V. Island of the Phoenix",Human Cranial Remains from Socotra,"Chistov, Yu.K."
10,Archaeology,"In: Hadramaut. Volume 1. ""Vostochnaya Literatura""(Moscow). pps 503-526; 3 tables, 3 figures",The First Palaeoanthropological Materials from the Island of Socotra,"Chistov, Yu.K."
10,Anthropology,,,
